,state_name,state,congress,s_upper,s_lower,election_name,race_type,voter_power
82,Kansas,20,NA,NA,12,State House District 12,State Leg (Lower),1
83,Kansas,20,NA,NA,13,State House District 13,State Leg (Lower),2
84,Kansas,20,NA,NA,14,State House District 14,State Leg (Lower),81
85,Kansas,20,NA,NA,15,State House District 15,State Leg (Lower),81
86,Kansas,20,NA,NA,16,State House District 16,State Leg (Lower),99
87,Kansas,20,NA,NA,17,State House District 17,State Leg (Lower),84
88,Kansas,20,NA,NA,18,State House District 18,State Leg (Lower),76
89,Kansas,20,NA,NA,19,State House District 19,State Leg (Lower),24
90,Kansas,20,NA,NA,20,State House District 20,State Leg (Lower),91
91,Kansas,20,NA,NA,21,State House District 21,State Leg (Lower),11
92,Kansas,20,NA,NA,22,State House District 22,State Leg (Lower),20
93,Kansas,20,NA,NA,23,State House District 23,State Leg (Lower),28
94,Kansas,20,NA,NA,24,State House District 24,State Leg (Lower),11
95,Kansas,20,NA,NA,25,State House District 25,State Leg (Lower),10
96,Kansas,20,NA,NA,26,State House District 26,State Leg (Lower),30
97,Kansas,20,NA,NA,27,State House District 27,State Leg (Lower),26
98,Kansas,20,NA,NA,28,State House District 28,State Leg (Lower),85
99,Kansas,20,NA,NA,29,State House District 29,State Leg (Lower),46
100,Kansas,20,NA,NA,30,State House District 30,State Leg (Lower),93
101,Kansas,20,NA,NA,31,State House District 31,State Leg (Lower),3
102,Kansas,20,NA,NA,32,State House District 32,State Leg (Lower),2
103,Kansas,20,NA,NA,33,State House District 33,State Leg (Lower),99
104,Kansas,20,NA,NA,34,State House District 34,State Leg (Lower),1
105,Kansas,20,NA,NA,35,State House District 35,State Leg (Lower),1
106,Kansas,20,NA,NA,36,State House District 36,State Leg (Lower),20
107,Kansas,20,NA,NA,37,State House District 37,State Leg (Lower),11
108,Kansas,20,NA,NA,38,State House District 38,State Leg (Lower),14
109,Kansas,20,NA,NA,39,State House District 39,State Leg (Lower),73
110,Kansas,20,NA,NA,40,State House District 40,State Leg (Lower),50
111,Kansas,20,NA,NA,41,State House District 41,State Leg (Lower),46
112,Kansas,20,NA,NA,42,State House District 42,State Leg (Lower),26
113,Kansas,20,NA,NA,43,State House District 43,State Leg (Lower),21
114,Kansas,20,NA,NA,44,State House District 44,State Leg (Lower),3
115,Kansas,20,NA,NA,45,State House District 45,State Leg (Lower),5
