state_name,state,congress,s_upper,s_lower,race_type,election_name,voter_power,D_running,R_running,R_running_2,D_link,R_link,R_link_2,cook_rating
Kansas,20,,20,,State Leg (Upper),State Senate District 20,67,Candace Ayars,Brenda Dietrich (incumbent),,http://ayars4senate.com/,https://dietrichforsenate.com/,
Kansas,20,,21,,State Leg (Upper),State Senate District 21,35,,,,,,
Kansas,20,,22,,State Leg (Upper),State Senate District 22,100,Usha Reddi (incumbent),Brad Starnes,,https://www.reddiforkssenate.com/,https://starnes4senate.com/,
Kansas,20,,23,,State Leg (Upper),State Senate District 23,69,Stacey Knoell,Adam Thomas,,https://www.staceyknoell.com/,https://www.adamtthomasforkansas.com/,
Kansas,20,,24,,State Leg (Upper),State Senate District 24,5,,,,,,
Kansas,20,,25,,State Leg (Upper),State Senate District 25,43,,,,,,
Kansas,20,,26,,State Leg (Upper),State Senate District 26,4,,,,,,
Kansas,20,,27,,State Leg (Upper),State Senate District 27,15,,,,,,
Kansas,20,,28,,State Leg (Upper),State Senate District 28,36,,,,,,
Kansas,20,,29,,State Leg (Upper),State Senate District 29,3,,,,,,
Kansas,20,,30,,State Leg (Upper),State Senate District 30,30,,,,,,
Kansas,20,,31,,State Leg (Upper),State Senate District 31,12,,,,,,
Kansas,20,,32,,State Leg (Upper),State Senate District 32,4,,,,,,
Kansas,20,,33,,State Leg (Upper),State Senate District 33,1,,,,,,
Kansas,20,,34,,State Leg (Upper),State Senate District 34,4,,,,,,
Kansas,20,,35,,State Leg (Upper),State Senate District 35,61,Jason Anderson,TJ Rose,,https://www.jasonandersonforkansas.com/,https://tjroseforkansas.com/,
Kansas,20,,36,,State Leg (Upper),State Senate District 36,1,,,,,,
Kansas,20,,37,,State Leg (Upper),State Senate District 37,24,,,,,,
Kansas,20,,38,,State Leg (Upper),State Senate District 38,3,,,,,,
Kansas,20,,39,,State Leg (Upper),State Senate District 39,2,,,,,,
Kansas,20,,40,,State Leg (Upper),State Senate District 40,1,,,,,,
Nebraska,31,,1,,State Leg (Upper),State Senate District 1,3,,,,,,
Nebraska,31,,2,,State Leg (Upper),State Senate District 2,0,,,,,,
Nebraska,31,,3,,State Leg (Upper),State Senate District 3,31,,,,,,
Nebraska,31,,4,,State Leg (Upper),State Senate District 4,0,,,,,,
Nebraska,31,,5,,State Leg (Upper),State Senate District 5,37,,,,,,
Nebraska,31,,6,,State Leg (Upper),State Senate District 6,0,,,,,,
Nebraska,31,,7,,State Leg (Upper),State Senate District 7,6,,,,,,
Nebraska,31,,8,,State Leg (Upper),State Senate District 8,0,,,,,,
Nebraska,31,,9,,State Leg (Upper),State Senate District 9,6,,,,,,
Nebraska,31,,10,,State Leg (Upper),State Senate District 10,0,,,,,,
Nebraska,31,,11,,State Leg (Upper),State Senate District 11,1,,,,,,
Nebraska,31,,12,,State Leg (Upper),State Senate District 12,0,,,,,,
Nebraska,31,,13,,State Leg (Upper),State Senate District 13,15,,,,,,
Nebraska,31,,14,,State Leg (Upper),State Senate District 14,0,,,,,,
Nebraska,31,,15,,State Leg (Upper),State Senate District 15,5,,,,,,
Nebraska,31,,16,,State Leg (Upper),State Senate District 16,0,,,,,,
Nebraska,31,,17,,State Leg (Upper),State Senate District 17,9,,,,,,
Nebraska,31,,18,,State Leg (Upper),State Senate District 18,0,,,,,,
Nebraska,31,,19,,State Leg (Upper),State Senate District 19,1,,,,,,
Nebraska,31,,20,,State Leg (Upper),State Senate District 20,0,,,,,,
Nebraska,31,,21,,State Leg (Upper),State Senate District 21,42,,,,,,
Nebraska,31,,22,,State Leg (Upper),State Senate District 22,0,,,,,,
Nebraska,31,,23,,State Leg (Upper),State Senate District 23,3,,,,,,
Nebraska,31,,24,,State Leg (Upper),State Senate District 24,0,,,,,,
Nebraska,31,,25,,State Leg (Upper),State Senate District 25,46,,,,,,
Nebraska,31,,26,,State Leg (Upper),State Senate District 26,0,,,,,,
Nebraska,31,,27,,State Leg (Upper),State Senate District 27,100,Jason Prokop (unaffiliated),Dawn Liphardt (unaffiliated),,https://jasonprokop.com/,https://www.dawnliphardt.com/,
Nebraska,31,,28,,State Leg (Upper),State Senate District 28,0,,,,,,
Nebraska,31,,29,,State Leg (Upper),State Senate District 29,28,,,,,,
Nebraska,31,,30,,State Leg (Upper),State Senate District 30,0,,,,,,
Nebraska,31,,31,,State Leg (Upper),State Senate District 31,23,,,,,,
Nebraska,31,,32,,State Leg (Upper),State Senate District 32,0,,,,,,
Nebraska,31,,33,,State Leg (Upper),State Senate District 33,2,,,,,,
Nebraska,31,,34,,State Leg (Upper),State Senate District 34,0,,,,,,
Nebraska,31,,35,,State Leg (Upper),State Senate District 35,13,,,,,,
Nebraska,31,,36,,State Leg (Upper),State Senate District 36,0,,,,,,
Nebraska,31,,37,,State Leg (Upper),State Senate District 37,4,,,,,,
Nebraska,31,,38,,State Leg (Upper),State Senate District 38,0,,,,,,
Nebraska,31,,39,,State Leg (Upper),State Senate District 39,5,,,,,,
Nebraska,31,,40,,State Leg (Upper),State Senate District 40,0,,,,,,
Nebraska,31,,41,,State Leg (Upper),State Senate District 41,1,,,,,,
